"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",11/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
23,,76,76,176,,0,0,0,,76,76,176
24,,24,24,162,,0,0,0,,24,24,162
Total,,=sum(C85:C108),=sum(D85:D108),"=Round(SUMPRODUCT(D85:D108,E85:E108)/D109)",,=sum(G85:G108),=sum(H85:H108),=sum(I85:I108),,=sum(K85:K108),=sum(L85:L108),"=Round(SUMPRODUCT(L85:L108,M85:M108)/L109)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",14/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,6,6,106,,0,0,0,,6,6,106
2,,2,2,122,,0,0,0,,2,2,122
3,,0,0,0,,0,0,0,,0,0,0
4,,2,2,59,,0,0,0,,2,2,59
5,,1,1,4,,0,0,0,,1,1,4
6,,12,12,142,,0,0,0,,12,12,142
7,,20,20,166,,0,0,0,,20,20,166
8,,32,32,115,,0,0,0,,32,32,115
9,*,167,167,156,+,0,0,0,#,167,167,156
10,,102,102,154,,0,0,0,,102,102,154
11,,107,107,159,,0,0,0,,107,107,159
12,,81,81,147,,0,0,0,,81,81,147
13,,66,66,157,,0,0,0,,66,66,157
14,,31,31,170,,0,0,0,,31,31,170
15,,41,41,162,,0,0,0,,41,41,162
16,,36,36,132,,0,0,0,,36,36,132
17,,30,30,204,,0,0,0,,30,30,204
18,,80,80,150,,0,0,0,,80,80,150
19,,104,104,138,,0,0,0,,104,104,138
20,,45,45,136,,0,0,0,,45,45,136
21,,18,18,157,,0,0,0,,18,18,157
22,,24,24,157,,0,0,0,,24,24,157
23,,42,42,177,,0,0,0,,42,42,177
24,,10,10,214,,0,0,0,,10,10,214
Total,,=sum(C124:C147),=sum(D124:D147),"=Round(SUMPRODUCT(D124:D147,E124:E147)/D148)",,=sum(G124:G147),=sum(H124:H147),=sum(I124:I147),,=sum(K124:K147),=sum(L124:L147),"=Round(SUMPRODUCT(L124:L147,M124:M147)/L148)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",15/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,17,17,93,,0,0,0,,17,17,93
2,,9,9,153,,0,0,0,,9,9,153
3,,3,3,159,,0,0,0,,3,3,159
4,,0,0,0,,0,0,0,,0,0,0
5,,4,4,132,,0,0,0,,4,4,132
6,,8,8,117,,0,0,0,,8,8,117
7,,17,17,139,,0,0,0,,17,17,139
8,,42,42,155,,0,0,0,,42,42,155
9,,185,185,156,,0,0,0,,185,185,156
10,,147,147,180,,0,0,0,,147,147,180
11,,124,124,166,,0,0,0,,124,124,166
12,,86,86,170,,0,0,0,,86,86,170
13,,53,53,203,,0,0,0,,53,53,203
14,,45,45,162,,0,0,0,,45,45,162
15,,70,70,146,,0,0,0,,70,70,146
16,,51,51,172,,0,0,0,,51,51,172
17,,117,117,192,,0,0,0,,117,117,192
18,,150,150,171,,0,0,0,,150,150,171
19,*,234,234,147,+,0,0,0,#,234,234,147
20,,63,63,152,,0,0,0,,63,63,152
21,,27,27,184,,0,0,0,,27,27,184
22,,28,28,160,,0,0,0,,28,28,160
23,,59,59,156,,0,0,0,,59,59,156
24,,39,39,159,,0,0,0,,39,39,159
Total,,=sum(C163:C186),=sum(D163:D186),"=Round(SUMPRODUCT(D163:D186,E163:E186)/D187)",,=sum(G163:G186),=sum(H163:H186),=sum(I163:I186),,=sum(K163:K186),=sum(L163:L186),"=Round(SUMPRODUCT(L163:L186,M163:M186)/L187)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",16/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,31,31,170,,0,0,0,,31,31,170
2,,50,50,139,,0,0,0,,50,50,139
3,,25,25,209,,0,0,0,,25,25,209
4,,19,19,173,,0,0,0,,19,19,173
5,,16,16,180,,0,0,0,,16,16,180
6,,5,5,125,,0,0,0,,5,5,125
7,,18,18,136,,0,0,0,,18,18,136
8,,37,37,154,,0,0,0,,37,37,154
9,,59,59,163,,0,0,0,,59,59,163
10,,51,51,141,,0,0,0,,51,51,141
11,,34,34,184,,0,0,0,,34,34,184
12,,52,52,195,,0,0,0,,52,52,195
13,*,88,88,164,+,0,0,0,#,88,88,164
14,,70,70,163,,0,0,0,,70,70,163
15,,30,30,152,,0,0,0,,30,30,152
16,,30,30,170,,0,0,0,,30,30,170
17,,28,28,212,,0,0,0,,28,28,212
18,,45,45,152,,0,0,0,,45,45,152
19,,57,57,164,,0,0,0,,57,57,164
20,,38,38,163,,0,0,0,,38,38,163
21,,18,18,137,,0,0,0,,18,18,137
22,,19,19,160,,0,0,0,,19,19,160
23,,31,31,156,,0,0,0,,31,31,156
24,,27,27,139,,0,0,0,,27,27,139
Total,,=sum(C202:C225),=sum(D202:D225),"=Round(SUMPRODUCT(D202:D225,E202:E225)/D226)",,=sum(G202:G225),=sum(H202:H225),=sum(I202:I225),,=sum(K202:K225),=sum(L202:L225),"=Round(SUMPRODUCT(L202:L225,M202:M225)/L226)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
"Generate Date:07/03/2019"
"Daily 24 Hour Measurement of PBX Traffic Report"
"Tel No	:",69586888,,,"Name	: SMRT Taxis Pte Ltd"
"Date 		: ",17/02/2019,,,,"Lines	: 90"
,"Incoming Calls",,,,"Outgoing Calls",,,,"Total Calls"
Hour,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration,BHInd,Attempt,Answer,Duration
1,,16,16,174,,0,0,0,,16,16,174
2,,27,27,159,,0,0,0,,27,27,159
3,,23,23,116,,0,0,0,,23,23,116
4,,23,23,147,,0,0,0,,23,23,147
5,,15,15,139,,0,0,0,,15,15,139
6,,11,11,169,,0,0,0,,11,11,169
7,,64,64,136,,0,0,0,,64,64,136
8,,81,81,156,,0,0,0,,81,81,156
9,,88,88,178,,0,0,0,,88,88,178
10,,75,75,175,,0,0,0,,75,75,175
11,,106,106,144,,0,0,0,,106,106,144
12,,69,69,150,,0,0,0,,69,69,150
13,,74,74,148,,0,0,0,,74,74,148
14,,45,45,143,,0,0,0,,45,45,143
15,,33,33,159,,0,0,0,,33,33,159
16,,28,28,156,,0,0,0,,28,28,156
17,,66,66,139,,0,0,0,,66,66,139
18,*,150,150,148,+,0,0,0,#,150,150,148
19,,76,76,187,,0,0,0,,76,76,187
20,,25,25,144,,0,0,0,,25,25,144
21,,47,47,190,,0,0,0,,47,47,190
22,,30,30,154,,0,0,0,,30,30,154
23,,22,22,162,,0,0,0,,22,22,162
24,,12,12,178,,0,0,0,,12,12,178
Total,,=sum(C241:C264),=sum(D241:D264),"=Round(SUMPRODUCT(D241:D264,E241:E264)/D265)",,=sum(G241:G264),=sum(H241:H264),=sum(I241:I264),,=sum(K241:K264),=sum(L241:L264),"=Round(SUMPRODUCT(L241:L264,M241:M264)/L265)"
,,
Abbreviations:,,,,
"Date           ",":The date of measurement.",,,,Hour," :The end hour of measurement."
"Incoming Calls ",":Calls terminated  at subscriber.",,,,"Attempt ",": Number of call attempts made."
"Outgoing Calls ",":Calls originated from subscriber.",,,,"Answer ",": Number of answered calls."
"BHInd.   *     ",":Busy hr (Incoming Calls)",,,,"Duration ",":The average conversation time in secs calculated using Traffic"
"+ : BHInd(Outgoing Calls)"
"+ : BHInd(Total Calls)"
,,,,,"-----------End of Report-----------",,
